"","transaction_id","transaction_date","customer_type","product","category","quantity","amount","payment_method","city","sales_rep"
"39",60,"2022-10","Retail","phone","electronics",1,1527.74,"cash","washington","Fatima"
"40",61,"2022-01","Online","monitor","office",2,1527.74,"cheque","new york","Sara"
"41",62,"2023-04","Wholesale","phone","electronics",3,1527.74,"cheque","new york","Fatima"
"42",64,"2022-07","Wholesale","monitor","electronics",2,1527.74,"transfer","new york","John"
"43",66,"2023-05","Retail","mouse","electronics",3,1527.74,"cash","new york","Ali"
"44",67,"2022-07","Wholesale","phone","office",3,1527.74,"cheque","chicago","Ali"
"45",69,"2023-07","Online","laptop","electronics",1,1527.74,"cash","washington","Sara"
"46",71,"2022-04","Retail","mouse","office",3,1527.74,"cheque","chicago","Sara"
"47",73,"2023-02","Retail","monitor","electronics",2,1527.74,"card","washington","Ali"
"48",75,"2022-11","Wholesale","phone","office",2,1527.74,"cheque","chicago","John"
"49",77,"2022-11","Retail","laptop","electronics",3,1527.74,"card","new york","John"
"50",81,"2022-09","Wholesale","tablet","office",3,1527.74,"card","new york","John"
"51",82,"2023-10","Retail","keyboard","office",2,1527.74,"card","chicago","John"
"52",83,"2023-10","Online","tablet","electronics",2,718.58,"card","new york","Fatima"
"53",84,"2023-03","Online","tablet","electronics",2,1527.74,"cheque","new york","John"
"54",86,"2023-03","Retail","keyboard","office",2,1527.74,"cash","new york","John"
"55",89,"2024-03","Online","keyboard","electronics",2,1527.74,"card","chicago","Ali"
"56",91,"2023-11","Wholesale","monitor","office",2,1778.08,"cash","washington","John"
"57",92,"2022-11","Online","keyboard","electronics",3,1527.74,"cash","new york","John"
"58",93,"2023-12","Online","laptop","electronics",2,2188.92,"cash","new york","John"
"59",94,"2022-08","Retail","laptop","electronics",1,1527.74,"card","chicago","Ali"
"60",95,"2023-11","Online","tablet","electronics",1,271.22,"card","new york","Ali"
"61",97,"2022-03","Wholesale","laptop","electronics",2,856.5,"cheque","chicago","John"
"62",98,"2022-03","Online","phone","office",3,306.79,"card","chicago","Ali"
"63",99,"2023-09","Retail","keyboard","office",1,1527.74,"cheque","new york","John"
"64",101,"2023-06","Retail","laptop","office",3,2096.97,"cheque","washington","Ali"
"65",103,"2024-04","Online","tablet","electronics",3,1527.74,"cheque","washington","John"
"66",104,"2023-02","Retail","phone","office",3,1527.74,"transfer","chicago","Ali"
"67",105,"2023-04","Retail","monitor","office",1,1527.74,"transfer","washington","Ali"
"68",106,"2024-01","Wholesale","laptop","electronics",2,78.73,"cash","new york","John"
"69",110,"2022-11","Online","phone","office",3,1527.74,"card","chicago","Sara"
"70",111,"2024-02","Retail","monitor","electronics",3,1527.74,"cash","new york","Sara"
"71",114,"2024-02","Wholesale","keyboard","office",1,1527.74,"transfer","washington","Sara"
"72",115,"2022-04","Retail","mouse","office",2,1758.28,"cheque","new york","Fatima"
"73",116,"2024-02","Retail","tablet","electronics",3,1527.74,"cheque","chicago","Sara"
"74",117,"2022-08","Wholesale","mouse","electronics",2,1882.74,"card","new york","Ali"
"75",121,"2022-02","Online","keyboard","office",2,1527.74,"card","washington","Fatima"
"76",122,"2023-05","Online","tablet","office",2,1527.74,"card","new york","John"
"77",124,"2023-11","Wholesale","keyboard","office",2,1527.74,"transfer","washington","Fatima"
"78",125,"2023-10","Retail","tablet","electronics",1,128.21,"cash","new york","Ali"
"79",126,"2022-04","Retail","monitor","office",3,2936.18,"card","washington","Sara"
"80",127,"2023-10","Wholesale","mouse","office",3,817.49,"card","new york","John"
"81",128,"2024-01","Online","monitor","electronics",3,1009.8,"card","chicago","Ali"
"82",130,"2022-02","Retail","phone","electronics",1,1527.74,"card","new york","Sara"
"83",132,"2022-11","Online","tablet","electronics",2,1559.3,"cheque","chicago","Ali"
"84",133,"2023-02","Online","keyboard","office",2,848.49,"cash","new york","Ali"
"85",134,"2022-07","Wholesale","monitor","electronics",2,2238.18,"cash","new york","Fatima"
"86",135,"2023-12","Wholesale","phone","electronics",2,1527.74,"transfer","chicago","Fatima"
"87",136,"2022-08","Retail","phone","electronics",3,1527.74,"cash","chicago","Sara"
"88",137,"2023-08","Online","monitor","electronics",1,1527.74,"card","chicago","Sara"
"89",138,"2024-06","Online","laptop","electronics",2,1527.74,"cheque","new york","Fatima"
"90",139,"2024-03","Retail","mouse","office",1,1527.74,"transfer","new york","John"
"91",140,"2023-02","Online","phone","electronics",2,1527.74,"card","new york","Sara"
"92",141,"2022-08","Online","mouse","electronics",2,1527.74,"card","new york","Fatima"
"93",144,"2023-08","Retail","monitor","electronics",3,1527.74,"card","chicago","Sara"
"94",146,"2022-12","Wholesale","laptop","electronics",1,1527.74,"cheque","chicago","Ali"
"95",147,"2024-03","Online","keyboard","electronics",2,1527.74,"card","chicago","John"
"96",148,"2023-06","Wholesale","monitor","office",3,1527.74,"card","new york","Sara"
"97",150,"2022-04","Retail","mouse","electronics",1,2035.69,"cheque","chicago","Ali"
"98",151,"2023-12","Retail","monitor","office",1,1527.74,"cheque","chicago","Sara"
"99",152,"2022-06","Wholesale","laptop","office",2,1527.74,"cheque","new york","Fatima"
"100",154,"2022-12","Wholesale","tablet","electronics",2,1527.74,"card","new york","Fatima"
"101",155,"2023-06","Online","laptop","electronics",1,1527.74,"card","new york","Sara"
"102",157,"2024-04","Wholesale","monitor","office",2,1527.74,"cash","chicago","John"
"103",159,"2022-03","Wholesale","keyboard","electronics",2,1527.74,"transfer","chicago","Ali"
"104",160,"2023-08","Online","tablet","electronics",2,1527.74,"cheque","new york","Fatima"
"105",162,"2022-06","Wholesale","mouse","electronics",2,1579.6,"cheque","washington","Sara"
"106",163,"2022-09","Online","mouse","office",2,1527.74,"card","washington","Fatima"
"107",167,"2023-04","Retail","tablet","office",3,1527.74,"cash","chicago","John"
"108",171,"2023-03","Online","phone","electronics",3,1527.74,"cheque","chicago","Sara"
"109",173,"2024-02","Online","laptop","electronics",1,1527.74,"card","new york","Ali"
"110",174,"2023-04","Online","tablet","electronics",3,1527.74,"card","washington","Fatima"
"111",175,"2023-08","Online","phone","electronics",3,2487.68,"cheque","chicago","John"
"112",176,"2022-08","Online","mouse","office",2,1527.74,"cheque","new york","Sara"
"113",179,"2024-06","Online","phone","office",2,1527.74,"cheque","chicago","Sara"
"114",180,"2024-03","Retail","monitor","electronics",2,435.74,"cash","new york","Sara"
"115",183,"2023-06","Retail","laptop","office",3,1527.74,"cash","washington","John"
"116",184,"2023-07","Online","phone","office",3,365.75,"transfer","washington","Fatima"
"117",185,"2022-03","Wholesale","monitor","office",2,1527.74,"cheque","chicago","Ali"
"118",186,"2022-04","Retail","keyboard","electronics",3,1527.74,"card","new york","John"
"119",187,"2022-05","Wholesale","mouse","office",2,1527.74,"cash","new york","John"
"120",188,"2024-04","Retail","keyboard","electronics",1,2930.83,"cash","chicago","John"
"121",190,"2023-02","Retail","laptop","electronics",3,1517.91,"cheque","new york","Sara"
"122",191,"2022-12","Wholesale","tablet","office",1,1459.29,"cash","chicago","Fatima"
"123",192,"2023-10","Wholesale","mouse","office",1,1527.74,"cash","chicago","Fatima"
"124",194,"2022-07","Retail","monitor","electronics",3,1156.68,"cheque","chicago","Sara"
"125",195,"2023-12","Online","mouse","office",1,1527.74,"cash","new york","Fatima"
"126",198,"2022-07","Retail","monitor","electronics",3,1527.74,"cash","washington","Ali"
"127",200,"2024-03","Online","keyboard","office",1,670.51,"card","new york","Sara"
"128",201,"2022-08","Online","laptop","electronics",1,2543.91,"card","washington","Sara"
"129",203,"2023-08","Online","keyboard","electronics",2,1527.74,"transfer","chicago","Ali"
"130",204,"2024-02","Retail","keyboard","electronics",3,1527.74,"card","chicago","Ali"
"131",206,"2022-09","Retail","monitor","electronics",2,2273.21,"cheque","new york","Sara"
"132",207,"2022-10","Wholesale","phone","electronics",3,1356.87,"card","chicago","Fatima"
"133",210,"2024-04","Wholesale","keyboard","office",2,1527.74,"card","new york","Sara"
"134",211,"2022-07","Retail","tablet","office",1,1527.74,"card","new york","Ali"
"135",212,"2022-08","Retail","laptop","electronics",2,1527.74,"card","chicago","Fatima"
"136",213,"2024-04","Retail","phone","electronics",2,1527.74,"cash","washington","Ali"
"137",214,"2022-05","Retail","tablet","electronics",3,1682.22,"cheque","washington","Fatima"
"138",216,"2023-03","Online","mouse","office",3,1527.74,"card","washington","Fatima"
"139",217,"2024-03","Retail","laptop","electronics",1,1527.74,"cash","new york","Fatima"
"140",218,"2023-01","Online","phone","office",2,1527.74,"cheque","chicago","Sara"
"141",220,"2022-07","Retail","keyboard","electronics",2,1527.74,"card","chicago","Ali"
"142",221,"2023-10","Retail","tablet","electronics",3,1527.74,"cash","new york","Sara"
"143",222,"2022-11","Retail","keyboard","electronics",2,1527.74,"card","chicago","John"
"144",224,"2023-07","Wholesale","mouse","office",1,1527.74,"cash","new york","Fatima"
"145",225,"2024-01","Retail","mouse","office",2,2731.7,"transfer","new york","Ali"
"146",226,"2023-05","Retail","mouse","electronics",1,1527.74,"card","chicago","Sara"
"147",227,"2022-12","Retail","mouse","electronics",3,900.9,"card","chicago","Ali"
"148",228,"2023-04","Wholesale","phone","electronics",1,1527.74,"cash","new york","Ali"
"149",229,"2024-03","Retail","tablet","office",3,2501.71,"transfer","new york","Sara"
"150",232,"2023-12","Retail","monitor","electronics",2,1527.74,"cash","new york","Sara"
"151",236,"2023-11","Online","laptop","electronics",2,1527.74,"transfer","chicago","Sara"
"152",237,"2022-01","Online","mouse","office",2,1527.74,"card","chicago","Fatima"
"153",238,"2022-10","Online","tablet","electronics",3,997.04,"cash","chicago","Ali"
"154",239,"2024-05","Wholesale","laptop","office",2,1527.74,"cash","chicago","Sara"
"155",241,"2024-02","Wholesale","monitor","office",1,1527.74,"transfer","chicago","Sara"
"156",242,"2022-10","Online","keyboard","office",2,2034.05,"cheque","washington","Ali"
"157",243,"2023-09","Retail","mouse","office",2,1734.14,"transfer","chicago","Fatima"
"158",246,"2023-03","Online","laptop","office",2,1527.74,"card","chicago","John"
"159",248,"2023-10","Online","tablet","electronics",1,1527.74,"card","chicago","Ali"
"160",249,"2024-06","Retail","phone","office",2,1527.74,"transfer","chicago","Fatima"
"161",252,"2024-06","Retail","keyboard","office",2,1527.74,"cheque","washington","John"
"162",253,"2024-05","Wholesale","monitor","electronics",3,1527.74,"cheque","new york","Fatima"
"163",254,"2024-01","Online","phone","electronics",2,1527.74,"cash","new york","Sara"
"164",255,"2024-02","Retail","keyboard","electronics",2,1527.74,"cash","washington","John"
"165",256,"2024-04","Online","keyboard","electronics",2,1527.74,"card","chicago","Fatima"
"166",257,"2022-03","Online","laptop","electronics",1,2790.94,"cheque","chicago","John"
"167",260,"2023-07","Wholesale","phone","office",3,1527.74,"card","chicago","Ali"
"168",261,"2022-12","Online","tablet","electronics",2,1527.74,"card","new york","Fatima"
"169",262,"2023-05","Wholesale","laptop","electronics",1,2189.92,"cash","chicago","Fatima"
"170",263,"2023-07","Wholesale","keyboard","office",1,1527.74,"card","chicago","John"
"171",264,"2022-12","Retail","laptop","electronics",1,1527.74,"card","washington","Sara"
"172",268,"2023-06","Wholesale","tablet","electronics",3,1473.58,"transfer","new york","John"
"173",270,"2022-05","Online","monitor","office",2,1527.74,"cash","new york","Sara"
"174",272,"2022-09","Online","laptop","electronics",1,665.22,"card","chicago","Ali"
"175",273,"2022-09","Wholesale","keyboard","office",1,1527.74,"card","washington","Ali"
"176",274,"2023-06","Wholesale","phone","office",1,1527.74,"cheque","new york","Ali"
"177",275,"2023-11","Retail","keyboard","office",2,1527.74,"card","washington","John"
"178",277,"2022-01","Online","phone","electronics",2,630.16,"cheque","chicago","John"
"179",278,"2023-10","Retail","mouse","office",2,1527.74,"card","chicago","Fatima"
"180",279,"2022-12","Retail","monitor","electronics",2,2232.43,"card","new york","John"
"181",284,"2024-04","Wholesale","monitor","office",2,2644.98,"card","chicago","John"
"182",288,"2023-06","Wholesale","monitor","office",2,2800.07,"card","new york","John"
"183",291,"2022-10","Retail","keyboard","office",2,1527.74,"transfer","new york","John"
"184",293,"2022-11","Online","monitor","electronics",2,1527.74,"card","chicago","John"
"185",294,"2024-02","Wholesale","monitor","electronics",1,1588.92,"cheque","chicago","John"
"186",298,"2023-08","Retail","keyboard","electronics",2,740.3,"cheque","new york","Fatima"
"187",299,"2022-09","Wholesale","mouse","office",3,1527.74,"cheque","new york","Fatima"
"188",301,"2023-03","Wholesale","keyboard","office",2,1527.74,"cheque","chicago","Sara"
"189",302,"2022-04","Wholesale","monitor","office",3,1527.74,"cash","washington","Sara"
"190",303,"2022-09","Online","keyboard","office",1,1527.74,"transfer","chicago","Ali"
"191",304,"2024-03","Retail","phone","office",2,2043.44,"card","new york","Fatima"
"192",305,"2023-11","Retail","monitor","office",1,940.93,"card","washington","John"
"193",306,"2022-07","Retail","keyboard","office",2,2898.24,"card","new york","Sara"
"194",307,"2024-03","Retail","tablet","office",1,1527.74,"transfer","washington","Ali"
"195",310,"2022-12","Wholesale","tablet","electronics",2,1527.74,"card","new york","John"
"196",312,"2022-10","Retail","laptop","electronics",3,2329.65,"card","chicago","Ali"
"197",313,"2022-09","Wholesale","monitor","electronics",2,1527.74,"cash","washington","Sara"
"198",314,"2023-05","Retail","mouse","office",1,397.87,"card","chicago","Fatima"
"199",316,"2022-03","Wholesale","keyboard","electronics",2,87.95,"transfer","chicago","Ali"
"200",320,"2022-05","Wholesale","phone","electronics",2,1527.74,"cheque","chicago","Ali"
"201",322,"2022-08","Retail","mouse","office",1,1527.74,"cash","new york","John"
"202",324,"2024-01","Wholesale","keyboard","electronics",2,1527.74,"transfer","washington","Fatima"
"203",328,"2022-12","Online","tablet","electronics",2,1527.74,"cash","new york","Sara"
"204",329,"2024-06","Online","phone","office",3,1527.74,"cheque","chicago","Ali"
"205",331,"2023-01","Wholesale","keyboard","office",1,1527.74,"cheque","new york","John"
"206",332,"2022-04","Online","tablet","electronics",1,1527.74,"cheque","new york","Fatima"
"207",333,"2023-04","Online","keyboard","electronics",2,1527.74,"cheque","new york","Fatima"
"208",334,"2022-07","Wholesale","laptop","office",3,1527.74,"transfer","new york","Sara"
"209",335,"2022-05","Retail","laptop","office",2,1487.42,"card","new york","Sara"
"210",337,"2024-03","Retail","mouse","electronics",3,1255.46,"cheque","washington","Ali"
"211",339,"2022-09","Online","mouse","electronics",3,1527.74,"cash","new york","John"
"212",341,"2023-04","Online","keyboard","office",2,2415.85,"cheque","chicago","John"
"213",342,"2023-06","Wholesale","tablet","office",3,1527.74,"cheque","new york","Sara"
"214",344,"2022-07","Retail","laptop","electronics",1,1527.74,"cheque","chicago","Fatima"
"215",346,"2022-01","Online","laptop","office",1,2446.37,"transfer","chicago","Fatima"
"216",348,"2024-02","Wholesale","phone","electronics",3,1527.74,"card","chicago","Ali"
"217",350,"2023-06","Retail","laptop","electronics",3,682.51,"card","new york","John"
"218",354,"2022-11","Online","laptop","office",2,1527.74,"transfer","new york","Fatima"
"219",355,"2023-08","Online","tablet","office",2,1527.74,"transfer","new york","John"
"220",357,"2023-07","Wholesale","tablet","electronics",2,2490.57,"transfer","new york","Ali"
"221",359,"2024-05","Wholesale","tablet","electronics",2,1527.74,"cash","new york","Fatima"
"222",360,"2023-01","Retail","laptop","office",2,1527.74,"cheque","new york","John"
"223",361,"2024-01","Online","mouse","electronics",1,1875.07,"transfer","new york","Ali"
"224",362,"2023-05","Online","mouse","electronics",2,1527.74,"cash","chicago","Fatima"
"225",363,"2024-05","Online","keyboard","electronics",1,474.15,"card","chicago","John"
"226",365,"2022-03","Retail","tablet","electronics",2,1527.74,"transfer","new york","Sara"
"227",367,"2022-05","Retail","monitor","office",2,880.99,"cheque","chicago","Ali"
"228",368,"2023-01","Retail","phone","electronics",2,1527.74,"transfer","new york","Sara"
"229",369,"2023-12","Retail","mouse","electronics",2,1242.03,"card","chicago","Fatima"
"230",371,"2022-09","Retail","mouse","office",2,531.14,"card","chicago","John"
"231",373,"2022-04","Wholesale","monitor","electronics",3,1527.74,"card","chicago","Fatima"
"232",374,"2023-10","Online","phone","office",2,1527.74,"cash","washington","John"
"233",375,"2022-02","Wholesale","mouse","electronics",1,2859.76,"cash","chicago","Sara"
"234",377,"2024-06","Retail","laptop","office",2,1998.11,"cheque","new york","John"
"235",384,"2023-01","Retail","mouse","electronics",1,900.02,"cheque","new york","Sara"
"236",385,"2023-10","Online","phone","office",2,1527.74,"transfer","chicago","Fatima"
"237",387,"2023-01","Retail","phone","electronics",2,138.07,"transfer","chicago","Fatima"
"238",388,"2023-06","Wholesale","keyboard","office",2,1527.74,"card","washington","Fatima"
"239",392,"2022-06","Wholesale","phone","electronics",1,1947.97,"card","new york","Fatima"
"240",393,"2023-06","Online","monitor","electronics",2,1527.74,"card","new york","Fatima"
"241",394,"2022-06","Online","laptop","office",3,1527.74,"card","new york","Ali"
"242",396,"2023-03","Retail","tablet","electronics",2,2958.93,"cheque","new york","Sara"
"243",397,"2022-07","Online","phone","electronics",3,2212.49,"card","new york","Fatima"
"244",399,"2022-01","Online","keyboard","electronics",2,1527.74,"transfer","new york","Ali"
"245",402,"2022-04","Online","monitor","electronics",2,2321.21,"cheque","washington","Fatima"
"246",403,"2024-01","Online","monitor","office",2,1527.74,"card","new york","Fatima"
"247",406,"2023-12","Online","phone","electronics",2,313.54,"card","new york","Fatima"
"248",408,"2022-09","Online","keyboard","office",2,1527.74,"cash","chicago","Ali"
"249",410,"2022-05","Online","mouse","office",2,1527.74,"card","chicago","Ali"
"250",411,"2022-10","Online","monitor","office",2,1929.49,"cash","new york","Sara"
"251",412,"2023-04","Wholesale","phone","office",2,1527.74,"card","washington","John"
"252",415,"2023-03","Online","monitor","office",2,1527.74,"card","chicago","Sara"
"253",416,"2023-07","Wholesale","tablet","electronics",2,1560.71,"cheque","washington","Fatima"
"254",418,"2022-11","Online","keyboard","office",2,1527.74,"transfer","washington","John"
"255",419,"2022-11","Wholesale","keyboard","electronics",2,1527.74,"card","washington","Fatima"
"256",421,"2022-07","Wholesale","mouse","electronics",3,2844.88,"cash","chicago","Fatima"
"257",422,"2024-06","Online","laptop","electronics",2,220.69,"card","chicago","John"
"258",423,"2023-01","Online","mouse","office",3,1527.74,"cheque","chicago","Sara"
"259",424,"2023-07","Online","tablet","office",1,1007.81,"transfer","chicago","Sara"
"260",425,"2023-08","Online","laptop","electronics",2,1527.74,"card","chicago","Ali"
"261",427,"2023-07","Retail","laptop","office",1,1527.74,"transfer","chicago","John"
"262",429,"2023-02","Wholesale","mouse","electronics",2,2630.1,"card","new york","Fatima"
"263",434,"2023-10","Online","keyboard","office",2,1527.74,"card","new york","Sara"
"264",435,"2023-06","Retail","phone","electronics",2,1527.74,"card","new york","Sara"
"265",436,"2022-04","Wholesale","mouse","electronics",2,1527.74,"card","new york","Sara"
"266",437,"2024-06","Retail","monitor","electronics",3,1527.74,"card","chicago","Ali"
"267",438,"2023-02","Retail","keyboard","electronics",1,1527.74,"cheque","new york","John"
"268",440,"2024-03","Retail","monitor","electronics",3,2855.66,"cheque","washington","Ali"
"269",442,"2024-06","Wholesale","tablet","office",3,2174.89,"card","washington","Fatima"
"270",443,"2024-02","Retail","keyboard","electronics",2,603.53,"card","new york","Fatima"
"271",445,"2023-09","Online","tablet","electronics",2,1610.87,"transfer","washington","Sara"
"272",447,"2022-02","Wholesale","phone","electronics",2,606.26,"card","new york","Sara"
"273",450,"2022-07","Wholesale","keyboard","electronics",2,1527.74,"card","new york","Sara"
"274",453,"2024-03","Online","monitor","office",2,1527.74,"cash","chicago","Ali"
"275",454,"2022-12","Retail","monitor","office",1,1527.74,"card","chicago","Ali"
"276",455,"2023-08","Wholesale","tablet","electronics",2,1527.74,"cheque","new york","Ali"
"277",458,"2022-03","Retail","phone","electronics",1,1044.97,"cheque","chicago","Sara"
"278",459,"2022-12","Retail","phone","electronics",3,1527.74,"transfer","washington","Fatima"
"279",461,"2022-05","Retail","laptop","electronics",2,1527.74,"transfer","new york","John"
"280",462,"2022-11","Online","keyboard","office",3,1527.74,"cash","chicago","Fatima"
"281",463,"2022-08","Retail","phone","electronics",3,2321.35,"card","new york","Ali"
"282",464,"2024-06","Retail","laptop","electronics",2,1527.74,"transfer","chicago","Sara"
"283",465,"2024-05","Online","monitor","electronics",2,1527.74,"cash","chicago","John"
"284",467,"2022-02","Retail","mouse","electronics",1,233.06,"card","chicago","Ali"
"285",468,"2023-11","Wholesale","mouse","electronics",2,1527.74,"card","chicago","Sara"
"286",470,"2024-01","Wholesale","monitor","electronics",3,1527.74,"transfer","new york","Fatima"
"287",474,"2022-09","Wholesale","mouse","office",2,1618.48,"transfer","new york","Ali"
"288",475,"2022-01","Wholesale","phone","office",3,816.13,"card","new york","Ali"
"289",477,"2023-08","Retail","mouse","office",3,1227.36,"cash","new york","Ali"
"290",479,"2023-04","Retail","laptop","electronics",3,1527.74,"cash","chicago","Ali"
"291",480,"2022-10","Online","phone","office",2,929.33,"card","new york","Sara"
"292",481,"2022-12","Retail","tablet","office",3,1139.75,"card","new york","Fatima"
"293",482,"2022-05","Retail","laptop","office",2,1527.74,"transfer","chicago","Fatima"
"294",483,"2023-08","Online","keyboard","electronics",3,1222.43,"cash","new york","Sara"
"295",485,"2023-01","Wholesale","laptop","office",2,1559.97,"card","new york","Fatima"
"296",486,"2023-04","Online","mouse","electronics",3,809.47,"card","new york","Fatima"
"297",490,"2022-07","Retail","laptop","electronics",3,2803.95,"cash","new york","Ali"
"298",491,"2023-01","Online","keyboard","electronics",3,1527.74,"card","chicago","Ali"
"299",492,"2022-04","Retail","phone","office",1,1527.74,"cheque","chicago","Sara"
"300",493,"2022-08","Online","laptop","electronics",2,1527.74,"cash","new york","Fatima"
"301",494,"2022-08","Wholesale","mouse","electronics",3,1527.74,"transfer","chicago","Fatima"
"302",496,"2024-05","Retail","keyboard","electronics",2,2948.55,"card","washington","Sara"
"303",497,"2022-05","Retail","keyboard","electronics",2,1527.74,"transfer","chicago","Sara"
"304",502,"2022-03","Online","laptop","office",1,1527.74,"transfer","washington","John"
"305",504,"2022-10","Wholesale","tablet","office",1,1527.74,"card","new york","John"
"306",507,"2022-09","Retail","mouse","electronics",2,2448.67,"cash","chicago","John"
"307",509,"2024-02","Wholesale","laptop","office",2,1527.74,"transfer","washington","Fatima"
"308",510,"2022-06","Online","monitor","electronics",2,2956.76,"cash","new york","Sara"
"309",512,"2024-05","Wholesale","keyboard","office",3,1527.74,"cash","new york","Sara"
"310",513,"2023-02","Online","tablet","electronics",2,1527.74,"card","washington","Fatima"
"311",515,"2023-12","Wholesale","laptop","office",3,1672.51,"cheque","chicago","Sara"
"312",516,"2024-01","Retail","monitor","electronics",2,2863.45,"transfer","new york","John"
"313",517,"2023-09","Online","laptop","electronics",2,1527.74,"cheque","chicago","Fatima"
"314",520,"2023-07","Wholesale","laptop","electronics",2,1527.74,"card","new york","John"
"315",521,"2022-05","Retail","keyboard","electronics",2,1527.74,"cash","new york","John"
"316",523,"2023-09","Retail","phone","electronics",2,2617.85,"card","new york","Ali"
"317",525,"2022-11","Online","tablet","electronics",3,1527.74,"transfer","new york","John"
"318",532,"2023-01","Retail","laptop","office",3,1691.02,"cash","chicago","Fatima"
"319",534,"2023-07","Online","phone","electronics",2,1204.66,"cheque","chicago","Sara"
"320",535,"2022-03","Retail","phone","electronics",3,2062.83,"cash","new york","Fatima"
"321",536,"2023-08","Wholesale","mouse","electronics",3,1527.74,"transfer","new york","Sara"
"322",537,"2024-03","Online","keyboard","electronics",1,1527.74,"cheque","chicago","Ali"
"323",539,"2022-06","Wholesale","monitor","electronics",3,2290.49,"card","new york","Sara"
"324",540,"2022-10","Online","mouse","office",1,2026.84,"cheque","chicago","Fatima"
"325",542,"2023-08","Wholesale","tablet","electronics",2,1527.74,"transfer","washington","John"
"326",543,"2022-05","Wholesale","phone","electronics",3,1527.74,"card","washington","Ali"
"327",544,"2023-03","Wholesale","tablet","electronics",1,1527.74,"card","chicago","Fatima"
"328",546,"2024-04","Online","monitor","office",2,1527.74,"card","chicago","Sara"
"329",547,"2023-11","Wholesale","mouse","office",2,1190.4,"card","chicago","Fatima"
"330",549,"2023-11","Online","phone","electronics",1,1527.74,"card","new york","Sara"
"331",550,"2024-02","Retail","tablet","office",1,1527.74,"cheque","chicago","Sara"
"332",551,"2023-07","Wholesale","tablet","electronics",3,1527.74,"transfer","new york","Ali"
"333",553,"2022-03","Online","keyboard","electronics",2,1527.74,"cash","chicago","John"
"334",558,"2022-11","Online","phone","office",2,2635.92,"card","chicago","John"
