transaction_id,transaction_date,customer_type,product,category,quantity,amount,payment_method,city,sales_rep
45,,Retail,Mouse, ELECTRONICS ,3.0, ,card,chicago,Fatima
46,05-09-2023,Online,Phone, ELECTRONICS ,,,Cash,,John
47,,Online,Mouse,office,3.0, ,Cash,chicago,
48,06/05/2023,Retail,Mouse,office,2.0,,Transfer,Chicago,Ali
49,2024-05-06,Online,Phone,Electronics,2.0,2490.54,Cash,chicago,Fatima
50,26-04-2023,Retail,Keyboard, ELECTRONICS ,1.0,,,NY ,John
51,12/27/2023,Retail,Monitor,Electronics,1.0, ,Transfer,NY ,
52,,Wholesale,Tablet,office,2.0,,card,chicago,
53,2023-06-30,Retail,Mouse,office,,256.06,Transfer,New York,
54,2024-02-22,Wholesale,Monitor,Office,3.0,,Transfer,new york,Ali
55,2022-05-25,Retail,Mouse,Electronics,, ,Card,,
56,,Retail,Tablet,office,3.0, ,Transfer,NY ,
57,22-01-2023,Wholesale,Tablet, ELECTRONICS ,,,Transfer,Chicago,Fatima
58,11/22/2022,Retail,Keyboard, ELECTRONICS ,2.0,,Card,,
59,2022-02-13,Retail,Mouse,office,, ,card,Chicago,Sara
60,26-10-2022,Retail,Phone,Electronics,1.0,,Cash,,Fatima
61,28-01-2022,Online,Monitor,office,, ,,new york,Sara
62,04/07/2023,Wholesale,Phone,electronics,3.0,,,NY ,Fatima
63,03/12/2024,Retail,Monitor,Office,2.0,915.76,Transfer,NY ,
64,07/11/2022,Wholesale,Monitor, ELECTRONICS ,, ,Transfer,new york,John
65,,Retail,Phone, ELECTRONICS ,1.0, ,Transfer,chicago,Ali
66,21-05-2023,Retail,Mouse, ELECTRONICS ,3.0,,Cash,new york,Ali
67,01-07-2022,Wholesale,Phone,Office,3.0, ,,Chicago,Ali
68,2022-08-24,Retail,Monitor,electronics,2.0,,Card,new york,
69,2023-07-01,Online,Laptop, ELECTRONICS ,1.0,,Cash,,Sara
70,,Wholesale,Tablet,electronics,1.0, ,Card,New York,Sara
71,04/20/2022,Retail,Mouse,Office,3.0, ,,Chicago,Sara
72,,Online,Tablet,electronics,,525.12,Transfer,,
73,02/26/2023,Retail,Monitor,Electronics,2.0,,Card,,Ali
74,2022-07-12,Online,Phone,office,1.0, ,Transfer,chicago,
75,28-11-2022,Wholesale,Phone,Office,,,,Chicago,John
76,,Online,Mouse,Office,2.0,,,NY ,
77,11-11-2022,Retail,Laptop, ELECTRONICS ,3.0,,Card,new york,John
78,03-11-2022,Online,Laptop,Electronics,2.0, ,card,chicago,
79,18-06-2024,Wholesale,Keyboard,office,1.0,,Transfer,Chicago,
80,,Online,Phone,Electronics,2.0,,Card,New York,Ali
81,2022-09-22,Wholesale,Tablet,office,3.0, ,Card,new york,John
82,28-10-2023,Retail,Keyboard,office,, ,card,chicago,John
83,10/23/2023,Online,Tablet,electronics,,718.58,card,New York,Fatima
84,03/08/2023,Online,Tablet,Electronics,,,,New York,John
85,,Retail,Monitor,Office,3.0,,card,,Sara
86,03/05/2023,Retail,Keyboard,Office,2.0, ,Cash,New York,John
87,05/19/2023,Wholesale,Mouse,office,3.0,2199.61,Card,new york,
88,,Online,Monitor,Office,2.0,476.89,Cash,chicago,
89,2024-03-06,Online,Keyboard,Electronics,2.0,,card,Chicago,Ali
90,,Retail,Laptop,electronics,1.0,,,chicago,
91,11/24/2023,Wholesale,Monitor,Office,,1778.08,Cash,,John
92,11/21/2022,Online,Keyboard,Electronics,3.0,,Cash,new york,John
93,12/12/2023,Online,Laptop, ELECTRONICS ,,2188.92,Cash,New York,John
94,2022-08-16,Retail,Laptop,Electronics,1.0, ,Card,chicago,Ali
95,11/21/2023,Online,Tablet,electronics,1.0,271.22,Card,new york,Ali
96,,Wholesale,Tablet,office,,2522.74,Transfer,,Sara
97,2022-03-19,Wholesale,Laptop, ELECTRONICS ,2.0,856.5,,chicago,John
98,2022-03-03,Online,Phone,Office,3.0,306.79,card,Chicago,Ali
99,09/19/2023,Retail,Keyboard,office,1.0, ,,new york,John
100,2023-02-02,Wholesale,Phone,office,1.0,1799.7,,NY ,
101,03-06-2023,Retail,Laptop,Office,3.0,2096.97,,,Ali
102,,Online,Mouse,office,1.0,,card,New York,Ali
103,28-04-2024,Online,Tablet, ELECTRONICS ,3.0,,,,John
104,02/05/2023,Retail,Phone,Office,3.0, ,Transfer,chicago,Ali
105,11-04-2023,Retail,Monitor,Office,1.0,,Transfer,,Ali
106,01/19/2024,Wholesale,Laptop, ELECTRONICS ,2.0,78.73,Cash,New York,John
107,29-04-2023,Online,Keyboard,electronics,, ,Transfer,,
108,04/08/2023,Wholesale,Phone,office,2.0,2092.89,Cash,New York,
109,09/26/2023,Wholesale,Keyboard,office,1.0,2398.72,Cash,Chicago,
110,17-11-2022,Online,Phone,office,3.0,,Card,Chicago,Sara
111,25-02-2024,Retail,Monitor,electronics,3.0, ,Cash,NY ,Sara
112,,Retail,Monitor,office,3.0,,Card,,Fatima
113,,Wholesale,Laptop,Electronics,3.0, ,Cash,Chicago,
114,02/04/2024,Wholesale,Keyboard,office,1.0,,Transfer,,Sara
115,04/18/2022,Retail,Mouse,office,2.0,1758.28,,new york,Fatima
116,02/25/2024,Retail,Tablet,electronics,3.0, ,,chicago,Sara
117,25-08-2022,Wholesale,Mouse, ELECTRONICS ,2.0,1882.74,card,NY ,Ali
118,,Retail,Monitor, ELECTRONICS ,,,Cash,New York,
119,,Wholesale,Keyboard, ELECTRONICS ,1.0,,Cash,NY ,Sara
120,,Retail,Monitor,office,,2871.9,Card,Chicago,
121,12-02-2022,Online,Keyboard,office,2.0, ,Card,,Fatima
122,05/01/2023,Online,Tablet,office,2.0,,card,NY ,John
123,,Wholesale,Monitor,Office,1.0,2497.23,Transfer,New York,Sara
124,11/10/2023,Wholesale,Keyboard,Office,2.0,,Transfer,,Fatima
125,10/15/2023,Retail,Tablet,Electronics,1.0,128.21,Cash,new york,Ali
126,2022-04-15,Retail,Monitor,office,3.0,2936.18,card,,Sara
127,06-10-2023,Wholesale,Mouse,Office,3.0,817.49,Card,new york,John
128,01/13/2024,Online,Monitor, ELECTRONICS ,3.0,1009.8,Card,Chicago,Ali
129,12/30/2023,Wholesale,Keyboard,Office,, ,Cash,Chicago,
130,07-02-2022,Retail,Phone,electronics,1.0,,Card,New York,Sara
131,,Wholesale,Tablet,Office,2.0,,Cash,new york,Fatima
132,2022-11-11,Online,Tablet,Electronics,,1559.3,,Chicago,Ali
133,02/05/2023,Online,Keyboard,Office,2.0,848.49,Cash,new york,Ali
134,03-07-2022,Wholesale,Monitor,electronics,2.0,2238.18,Cash,New York,Fatima
135,06-12-2023,Wholesale,Phone, ELECTRONICS ,2.0, ,Transfer,chicago,Fatima
136,06-08-2022,Retail,Phone, ELECTRONICS ,3.0, ,Cash,Chicago,Sara
137,08/12/2023,Online,Monitor, ELECTRONICS ,1.0,,card,Chicago,Sara
138,06/05/2024,Online,Laptop,Electronics,,,,NY ,Fatima
139,03/21/2024,Retail,Mouse,Office,1.0, ,Transfer,New York,John
140,22-02-2023,Online,Phone,Electronics,,,Card,new york,Sara
141,08/22/2022,Online,Mouse,Electronics,2.0,,Card,new york,Fatima
142,,Retail,Mouse,office,, ,card,Chicago,Ali
143,,Retail,Laptop,office,3.0,475.35,Cash,new york,Sara
144,08/27/2023,Retail,Monitor,Electronics,3.0, ,card,Chicago,Sara
145,09-01-2023,Online,Mouse,electronics,2.0,,Transfer,,
146,12/05/2022,Wholesale,Laptop,Electronics,1.0, ,,Chicago,Ali
147,2024-03-26,Online,Keyboard,electronics,2.0, ,Card,Chicago,John
148,10-06-2023,Wholesale,Monitor,Office,3.0,,card,new york,Sara
149,2022-04-19,Wholesale,Laptop,Electronics,1.0,2421.82,card,NY ,
150,03-04-2022,Retail,Mouse,Electronics,1.0,2035.69,,Chicago,Ali
151,03-12-2023,Retail,Monitor,Office,1.0, ,,Chicago,Sara
152,06/06/2022,Wholesale,Laptop,office,, ,,New York,Fatima
153,,Wholesale,Mouse,Office,1.0,1498.14,Cash,Chicago,Ali
154,2022-12-23,Wholesale,Tablet,electronics,2.0,,card,New York,Fatima
155,06/29/2023,Online,Laptop,electronics,1.0, ,card,new york,Sara
156,02/19/2022,Retail,Tablet,electronics,1.0,458.22,Card,new york,
157,11-04-2024,Wholesale,Monitor,office,, ,Cash,Chicago,John
158,,Online,Keyboard,Electronics,2.0,1686.5,,chicago,
159,03/12/2022,Wholesale,Keyboard,Electronics,2.0,,Transfer,Chicago,Ali
160,2023-08-17,Online,Tablet, ELECTRONICS ,,,,new york,Fatima
161,,Wholesale,Laptop,Office,, ,Card,,
162,2022-06-30,Wholesale,Mouse, ELECTRONICS ,2.0,1579.6,,,Sara
163,2022-09-10,Online,Mouse,office,2.0,,Card,,Fatima
164,,Wholesale,Monitor,electronics,,238.53,Transfer,New York,John
165,29-12-2023,Wholesale,Keyboard,Office,2.0,,,,
166,,Retail,Monitor,office,3.0, ,Cash,,Ali
167,18-04-2023,Retail,Tablet,office,3.0, ,Cash,Chicago,John
168,,Wholesale,Monitor,Electronics,3.0,1413.87,Transfer,new york,Ali
169,26-01-2023,Wholesale,Mouse,Office,, ,Cash,chicago,
170,2023-10-18,Wholesale,Laptop,Electronics,3.0,2001.02,Cash,Chicago,
171,27-03-2023,Online,Phone, ELECTRONICS ,3.0, ,,Chicago,Sara
172,,Retail,Monitor,electronics,2.0, ,card,New York,Fatima
173,02/19/2024,Online,Laptop,electronics,1.0,,card,NY ,Ali
174,04/09/2023,Online,Tablet,electronics,3.0,,Card,,Fatima
175,08/06/2023,Online,Phone,electronics,3.0,2487.68,,Chicago,John
176,2022-08-17,Online,Mouse,Office,2.0,,,NY ,Sara
177,,Retail,Monitor,Electronics,,2330.15,card,NY ,Ali
178,,Retail,Mouse,electronics,3.0,626.17,Cash,new york,John
179,10-06-2024,Online,Phone,office,2.0, ,,Chicago,Sara
180,03/21/2024,Retail,Monitor, ELECTRONICS ,,435.74,Cash,NY ,Sara
181,02/27/2024,Retail,Monitor,electronics,1.0,,card,,
182,,Retail,Mouse,electronics,,,card,new york,Sara
183,2023-06-29,Retail,Laptop,Office,3.0, ,Cash,,John
184,14-07-2023,Online,Phone,Office,3.0,365.75,Transfer,,Fatima
185,03/26/2022,Wholesale,Monitor,office,,,,chicago,Ali
186,04/12/2022,Retail,Keyboard,Electronics,3.0,,Card,new york,John
187,2022-05-02,Wholesale,Mouse,Office,2.0,,Cash,new york,John
188,04/12/2024,Retail,Keyboard,Electronics,1.0,2930.83,Cash,Chicago,John
189,2022-10-30,Retail,Laptop,office,3.0, ,,new york,
190,2023-02-21,Retail,Laptop,Electronics,3.0,1517.91,,new york,Sara
191,23-12-2022,Wholesale,Tablet,office,1.0,1459.29,Cash,chicago,Fatima
192,2023-10-23,Wholesale,Mouse,office,1.0,,Cash,chicago,Fatima
193,,Retail,Laptop, ELECTRONICS ,1.0,2505.72,Cash,new york,
194,07/05/2022,Retail,Monitor, ELECTRONICS ,3.0,1156.68,,chicago,Sara
195,12/05/2023,Online,Mouse,office,1.0,,Cash,NY ,Fatima
196,16-05-2023,Online,Tablet,Electronics,2.0,,,Chicago,
197,,Wholesale,Monitor,electronics,2.0, ,Card,,John
198,14-07-2022,Retail,Monitor,electronics,3.0, ,Cash,,Ali
199,,Retail,Phone,Office,2.0, ,Transfer,chicago,Ali
200,2024-03-26,Online,Keyboard,Office,1.0,670.51,card,NY ,Sara
201,08/13/2022,Online,Laptop,Electronics,1.0,2543.91,card,,Sara
202,2024-05-03,Wholesale,Keyboard,office,3.0, ,card,chicago,
203,2023-08-23,Online,Keyboard,Electronics,,,Transfer,chicago,Ali
204,16-02-2024,Retail,Keyboard,Electronics,3.0,,card,Chicago,Ali
205,03/24/2022,Retail,Tablet,Electronics,2.0, ,Transfer,NY ,
206,2022-09-04,Retail,Monitor,electronics,2.0,2273.21,,New York,Sara
207,27-10-2022,Wholesale,Phone,electronics,3.0,1356.87,Card,Chicago,Fatima
208,,Wholesale,Monitor,Office,3.0, ,Card,Chicago,Fatima
209,,Wholesale,Laptop,electronics,1.0, ,card,chicago,John
210,20-04-2024,Wholesale,Keyboard,Office,, ,Card,new york,Sara
211,19-07-2022,Retail,Tablet,office,1.0,,card,new york,Ali
212,08/12/2022,Retail,Laptop,Electronics,,,card,Chicago,Fatima
213,2024-04-02,Retail,Phone,Electronics,2.0, ,Cash,,Ali
214,26-05-2022,Retail,Tablet,electronics,3.0,1682.22,,,Fatima
215,,Retail,Tablet,Office,1.0,,,New York,
216,03/30/2023,Online,Mouse,office,3.0,,Card,,Fatima
217,15-03-2024,Retail,Laptop,Electronics,1.0,,Cash,New York,Fatima
218,01/17/2023,Online,Phone,office,2.0,,,chicago,Sara
219,,Wholesale,Keyboard,office,1.0, ,Cash,chicago,
220,27-07-2022,Retail,Keyboard,electronics,, ,card,Chicago,Ali
221,2023-10-22,Retail,Tablet,Electronics,3.0, ,Cash,new york,Sara
222,11/24/2022,Retail,Keyboard, ELECTRONICS ,,,Card,chicago,John
223,,Retail,Laptop, ELECTRONICS ,,,Cash,Chicago,
224,27-07-2023,Wholesale,Mouse,office,1.0, ,Cash,new york,Fatima
225,01/03/2024,Retail,Mouse,office,2.0,2731.7,Transfer,New York,Ali
226,06-05-2023,Retail,Mouse, ELECTRONICS ,1.0, ,Card,chicago,Sara
227,12/17/2022,Retail,Mouse,Electronics,3.0,900.9,Card,chicago,Ali
228,30-04-2023,Wholesale,Phone, ELECTRONICS ,1.0,,Cash,new york,Ali
229,03/30/2024,Retail,Tablet,Office,3.0,2501.71,Transfer,new york,Sara
230,23-05-2023,Online,Tablet,office,2.0, ,Cash,Chicago,
231,,Retail,Monitor, ELECTRONICS ,2.0,1873.8,Card,New York,Sara
232,12/13/2023,Retail,Monitor,electronics,, ,Cash,new york,Sara
233,,Wholesale,Phone,Electronics,,,Card,new york,Fatima
234,2023-05-02,Retail,Keyboard,office,, ,Cash,NY ,
235,,Wholesale,Tablet, ELECTRONICS ,3.0,,Card,new york,Sara
236,17-11-2023,Online,Laptop,electronics,2.0,,Transfer,Chicago,Sara
237,01/08/2022,Online,Mouse,office,2.0,,Card,Chicago,Fatima
238,28-10-2022,Online,Tablet,Electronics,3.0,997.04,Cash,Chicago,Ali
239,05/13/2024,Wholesale,Laptop,office,, ,Cash,chicago,Sara
240,,Wholesale,Tablet,office,2.0,2717.87,Transfer,NY ,
241,28-02-2024,Wholesale,Monitor,Office,1.0,,Transfer,chicago,Sara
242,2022-10-13,Online,Keyboard,Office,,2034.05,,,Ali
243,26-09-2023,Retail,Mouse,office,,1734.14,Transfer,chicago,Fatima
244,01/27/2023,Online,Phone, ELECTRONICS ,,1514.61,Card,Chicago,
245,,Retail,Phone,Office,2.0,,,Chicago,Ali
246,16-03-2023,Online,Laptop,Office,2.0, ,card,Chicago,John
247,2023-11-12,Retail,Mouse,Office,2.0, ,card,New York,
248,31-10-2023,Online,Tablet, ELECTRONICS ,1.0,,Card,Chicago,Ali
249,06/10/2024,Retail,Phone,Office,, ,Transfer,chicago,Fatima
250,,Online,Laptop, ELECTRONICS ,1.0,2326.69,card,,John
251,2022-09-18,Wholesale,Keyboard, ELECTRONICS ,1.0, ,card,NY ,
252,2024-06-18,Retail,Keyboard,office,2.0,,,,John
253,05/19/2024,Wholesale,Monitor, ELECTRONICS ,3.0, ,,new york,Fatima
254,2024-01-14,Online,Phone, ELECTRONICS ,2.0,,Cash,NY ,Sara
255,02/17/2024,Retail,Keyboard, ELECTRONICS ,2.0, ,Cash,,John
256,2024-04-19,Online,Keyboard,Electronics,2.0, ,Card,Chicago,Fatima
257,03/24/2022,Online,Laptop,Electronics,1.0,2790.94,,Chicago,John
258,,Wholesale,Keyboard,electronics,3.0, ,,NY ,Fatima
259,,Retail,Mouse,office,,,Transfer,new york,John
260,2023-07-13,Wholesale,Phone,office,3.0, ,Card,Chicago,Ali
261,2022-12-23,Online,Tablet, ELECTRONICS ,2.0, ,Card,New York,Fatima
262,2023-05-21,Wholesale,Laptop,electronics,1.0,2189.92,Cash,chicago,Fatima
263,2023-07-09,Wholesale,Keyboard,office,1.0,,Card,chicago,John
264,09-12-2022,Retail,Laptop, ELECTRONICS ,1.0,,card,,Sara
265,,Online,Phone,electronics,,276.06,Transfer,chicago,
266,2022-03-05,Online,Phone, ELECTRONICS ,1.0,1682.65,,Chicago,
267,02/19/2023,Wholesale,Laptop,Electronics,,,,,
268,06/19/2023,Wholesale,Tablet,Electronics,3.0,1473.58,Transfer,new york,John
269,,Wholesale,Tablet,office,,,Transfer,new york,Sara
270,2022-05-27,Online,Monitor,office,, ,Cash,new york,Sara
271,,Online,Keyboard,Office,, ,Cash,,Sara
272,09/17/2022,Online,Laptop,Electronics,1.0,665.22,Card,Chicago,Ali
273,2022-09-22,Wholesale,Keyboard,office,1.0, ,card,,Ali
274,2023-06-04,Wholesale,Phone,office,1.0,,,NY ,Ali
275,11/13/2023,Retail,Keyboard,office,,,card,,John
276,,Retail,Tablet,Office,, ,,,Sara
277,2022-01-07,Online,Phone,Electronics,2.0,630.16,,chicago,John
278,24-10-2023,Retail,Mouse,Office,,,Card,chicago,Fatima
279,2022-12-02,Retail,Monitor, ELECTRONICS ,2.0,2232.43,card,new york,John
280,,Retail,Tablet,electronics,2.0,,,NY ,Ali
281,,Online,Mouse,Electronics,3.0,652.33,card,Chicago,John
282,2022-09-14,Wholesale,Phone,Office,2.0, ,Card,new york,
283,08-04-2023,Online,Mouse,Electronics,3.0,107.84,Card,New York,
284,04/23/2024,Wholesale,Monitor,Office,2.0,2644.98,card,chicago,John
285,,Online,Mouse,office,2.0,,Card,Chicago,
286,,Wholesale,Mouse,office,1.0, ,Transfer,chicago,Ali
287,2023-07-15,Retail,Monitor,Office,2.0,,,new york,
288,06/19/2023,Wholesale,Monitor,office,2.0,2800.07,card,New York,John
289,,Wholesale,Tablet,Electronics,,,Cash,chicago,Sara
290,,Retail,Monitor,electronics,3.0, ,,chicago,Ali
291,2022-10-22,Retail,Keyboard,office,2.0,,Transfer,NY ,John
292,,Retail,Tablet,Electronics,2.0, ,,NY ,Sara
293,11/23/2022,Online,Monitor, ELECTRONICS ,2.0,,card,Chicago,John
294,2024-02-25,Wholesale,Monitor,electronics,1.0,1588.92,,chicago,John
295,,Retail,Keyboard, ELECTRONICS ,1.0, ,card,Chicago,
296,31-07-2023,Wholesale,Tablet,Office,1.0,,card,chicago,
297,10/07/2022,Retail,Mouse,Office,3.0,2423.82,Card,Chicago,
298,15-08-2023,Retail,Keyboard,electronics,2.0,740.3,,new york,Fatima
299,2022-09-18,Wholesale,Mouse,Office,3.0, ,,NY ,Fatima
300,,Wholesale,Phone,electronics,3.0,,card,chicago,Fatima
301,28-03-2023,Wholesale,Keyboard,office,, ,,Chicago,Sara
302,19-04-2022,Wholesale,Monitor,office,3.0,,Cash,,Sara
303,2022-09-21,Online,Keyboard,office,1.0, ,Transfer,chicago,Ali
304,03/07/2024,Retail,Phone,Office,2.0,2043.44,Card,new york,Fatima
305,2023-11-02,Retail,Monitor,Office,1.0,940.93,Card,,John
306,14-07-2022,Retail,Keyboard,office,,2898.24,card,NY ,Sara
307,03/13/2024,Retail,Tablet,office,1.0, ,Transfer,,Ali
308,,Online,Phone,Electronics,1.0, ,Transfer,Chicago,Sara
309,,Retail,Tablet,office,, ,Transfer,New York,Fatima
310,19-12-2022,Wholesale,Tablet,Electronics,2.0,,Card,New York,John
311,2022-05-06,Retail,Mouse,Office,3.0,,,New York,
312,10/14/2022,Retail,Laptop, ELECTRONICS ,3.0,2329.65,card,chicago,Ali
313,2022-09-14,Wholesale,Monitor, ELECTRONICS ,,,Cash,,Sara
314,05/17/2023,Retail,Mouse,Office,1.0,397.87,card,Chicago,Fatima
315,05-11-2023,Online,Mouse,electronics,1.0, ,Transfer,NY ,
316,03/16/2022,Wholesale,Keyboard,electronics,2.0,87.95,Transfer,chicago,Ali
317,,Retail,Monitor,Office,,,card,new york,Ali
318,,Retail,Phone, ELECTRONICS ,1.0, ,Cash,new york,Sara
319,,Retail,Keyboard,electronics,2.0,2198.4,Card,new york,Fatima
320,2022-05-23,Wholesale,Phone,Electronics,,,,chicago,Ali
321,04/28/2023,Online,Mouse, ELECTRONICS ,3.0,,Cash,new york,
322,27-08-2022,Retail,Mouse,office,1.0, ,Cash,NY ,John
323,2024-05-12,Wholesale,Laptop,electronics,1.0,1710.49,Cash,new york,
324,26-01-2024,Wholesale,Keyboard,Electronics,2.0,,Transfer,,Fatima
325,,Retail,Keyboard,Office,3.0,,Cash,New York,Ali
326,2022-07-12,Online,Phone,electronics,3.0,2443.96,Card,new york,
327,,Online,Tablet, ELECTRONICS ,3.0,2469.32,Cash,new york,Fatima
328,21-12-2022,Online,Tablet,electronics,,,Cash,new york,Sara
329,06/14/2024,Online,Phone,Office,3.0, ,,chicago,Ali
330,,Retail,Tablet,office,1.0,1374.43,Transfer,New York,
331,2023-01-21,Wholesale,Keyboard,Office,1.0, ,,new york,John
332,04/17/2022,Online,Tablet,Electronics,1.0,,,NY ,Fatima
333,2023-04-16,Online,Keyboard,electronics,,,,NY ,Fatima
334,07/12/2022,Wholesale,Laptop,Office,3.0,,Transfer,New York,Sara
335,2022-05-02,Retail,Laptop,office,2.0,1487.42,Card,New York,Sara
336,2022-03-25,Online,Laptop,Electronics,2.0, ,,Chicago,
337,2024-03-24,Retail,Mouse, ELECTRONICS ,3.0,1255.46,,,Ali
338,2022-10-13,Wholesale,Mouse,office,,1585.55,Cash,New York,
339,2022-09-08,Online,Mouse,electronics,3.0, ,Cash,New York,John
340,2023-01-13,Wholesale,Laptop, ELECTRONICS ,,1024.77,card,New York,
341,05-04-2023,Online,Keyboard,Office,,2415.85,,Chicago,John
342,2023-06-04,Wholesale,Tablet,office,3.0, ,,new york,Sara
343,,Wholesale,Mouse,electronics,3.0,,Cash,New York,John
344,2022-07-30,Retail,Laptop, ELECTRONICS ,1.0, ,,Chicago,Fatima
345,,Online,Mouse,office,, ,card,chicago,Fatima
346,22-01-2022,Online,Laptop,Office,1.0,2446.37,Transfer,Chicago,Fatima
347,30-04-2022,Retail,Phone,Office,2.0,,Transfer,Chicago,
348,2024-02-18,Wholesale,Phone, ELECTRONICS ,3.0, ,card,Chicago,Ali
349,26-07-2022,Retail,Mouse,Electronics,3.0,2134.84,Card,,
350,06/08/2023,Retail,Laptop, ELECTRONICS ,3.0,682.51,card,new york,John
351,,Retail,Phone, ELECTRONICS ,2.0, ,Card,New York,
352,2023-11-11,Online,Phone,Office,,595.34,Transfer,chicago,
353,,Wholesale,Mouse, ELECTRONICS ,2.0,541.3,Transfer,NY ,John
354,11/29/2022,Online,Laptop,Office,2.0, ,Transfer,new york,Fatima
355,2023-08-16,Online,Tablet,Office,2.0,,Transfer,NY ,John
356,,Wholesale,Phone,office,3.0,2212.14,card,Chicago,Ali
357,07/02/2023,Wholesale,Tablet, ELECTRONICS ,2.0,2490.57,Transfer,New York,Ali
358,12-03-2022,Retail,Laptop,office,3.0, ,,,
359,05/08/2024,Wholesale,Tablet, ELECTRONICS ,,,Cash,new york,Fatima
360,01/26/2023,Retail,Laptop,Office,2.0, ,,NY ,John
361,01/28/2024,Online,Mouse,electronics,1.0,1875.07,Transfer,new york,Ali
362,05/15/2023,Online,Mouse,Electronics,, ,Cash,Chicago,Fatima
363,2024-05-27,Online,Keyboard,electronics,1.0,474.15,Card,Chicago,John
364,,Online,Monitor,Office,3.0,1875.81,Card,NY ,John
365,24-03-2022,Retail,Tablet,Electronics,2.0,,Transfer,new york,Sara
366,06-09-2023,Retail,Laptop,office,2.0,2284.75,Cash,Chicago,
367,15-05-2022,Retail,Monitor,Office,2.0,880.99,,chicago,Ali
368,2023-01-29,Retail,Phone,Electronics,2.0, ,Transfer,New York,Sara
369,12/19/2023,Retail,Mouse,electronics,,1242.03,card,chicago,Fatima
370,,Online,Mouse,office,2.0, ,Transfer,,
371,2022-09-22,Retail,Mouse,Office,,531.14,card,chicago,John
372,,Wholesale,Tablet, ELECTRONICS ,,,card,new york,Fatima
373,2022-04-03,Wholesale,Monitor,electronics,3.0,,card,chicago,Fatima
374,10/08/2023,Online,Phone,office,2.0, ,Cash,,John
375,2022-02-13,Wholesale,Mouse,electronics,1.0,2859.76,Cash,Chicago,Sara
376,,Wholesale,Laptop,office,3.0,,Card,,Sara
377,06/04/2024,Retail,Laptop,office,,1998.11,,NY ,John
